prabhag_no,length_of_roads,length_of_tar_roads,length_of_concrete_roads,length_of_roads_with_footpath_on_both_sides,length_of_roads_with_footpath_on_one_side,percentage_of_roads_with_strom_water_drainage,,percentage_of_roads_paved,percentage_of_roads_with_usable_footpaths,percentage_of_roads_with_strom_water_drainage,,value_for_paved_roads_index,max_value,min_value,paved_roads_index,value_for_usable_footpaths_index,max_value,min_value,usable_footpath_index,value_for_strom_water_drainage_index,max_value,min_value,strom_water_drainage_index,road_index
55,21,19,2,1,2,20,,100.00,14.29,20.00,,100.00,100.00,65.33,1.00,14.29,100.00,0.00,0.14,20.00,100.00,1.00,0.19,0.59
56,16.98,6.26,10.12,0,2.25,30,,96.47,13.25,30.00,,96.47,100.00,65.33,0.90,13.25,100.00,0.00,0.13,30.00,100.00,1.00,0.29,0.55
57,15.45,13.84,1.61,0,9,60,,100.00,58.25,60.00,,100.00,100.00,65.33,1.00,58.25,100.00,0.00,0.58,60.00,100.00,1.00,0.60,0.75
58,8,6.8,1.2,5,1,43.75,,100.00,75.00,43.75,,100.00,100.00,65.33,1.00,75.00,100.00,0.00,0.75,43.75,100.00,1.00,0.43,0.76
59,5.2,3,1.5,2,1.6,3,,86.54,69.23,3.00,,86.54,100.00,65.33,0.61,69.23,100.00,0.00,0.69,3.00,100.00,1.00,0.02,0.53
60,5.25,4,1.25,1,3,2.5,,100.00,76.19,2.50,,100.00,100.00,65.33,1.00,76.19,100.00,0.00,0.76,2.50,100.00,1.00,0.02,0.73
61,26.73,24.591,2.1384,1.5,2,60,,100.00,13.09,60.00,,100.00,100.00,65.33,1.00,13.09,100.00,0.00,0.13,60.00,100.00,1.00,0.60,0.68
62,49.44,24.7,7.6,6,2,10,,65.33,16.18,10.00,,65.33,100.00,65.33,0.00,16.18,100.00,0.00,0.16,10.00,100.00,1.00,0.09,0.11
63,32.829,29.82,3,0,2.5,8,,99.97,7.62,8.00,,99.97,100.00,65.33,1.00,7.62,100.00,0.00,0.08,8.00,100.00,1.00,0.07,0.58
64,13.45,8.46,4.99,13.45,0,80,,100.00,100.00,80.00,,100.00,100.00,65.33,1.00,100.00,100.00,0.00,1.00,80.00,100.00,1.00,0.80,0.94
65,5.586,4.421,1.165,1.5,1.5,3,,100.00,53.71,3.00,,100.00,100.00,65.33,1.00,53.71,100.00,0.00,0.54,3.00,100.00,1.00,0.02,0.66
66,20,16,4,2,0,60,,100.00,10.00,60.00,,100.00,100.00,65.33,1.00,10.00,100.00,0.00,0.10,60.00,100.00,1.00,0.60,0.67
67,26,21.7,4.3,0,1.7,70,,100.00,6.54,70.00,,100.00,100.00,65.33,1.00,6.54,100.00,0.00,0.07,70.00,100.00,1.00,0.70,0.70
68,20.35,13.7,6.65,3.5,0,50,,100.00,17.20,50.00,,100.00,100.00,65.33,1.00,17.20,100.00,0.00,0.17,50.00,100.00,1.00,0.49,0.65
69,46,34,12,5,1,30,,100.00,13.04,30.00,,100.00,100.00,65.33,1.00,13.04,100.00,0.00,0.13,30.00,100.00,1.00,0.29,0.61
70,28.1,19.32,8.78,11.2,5.8,75,,100.00,60.50,75.00,,100.00,100.00,65.33,1.00,60.50,100.00,0.00,0.60,75.00,100.00,1.00,0.75,0.80
71,17.47,10.21,7.26,17.47,0,85,,100.00,100.00,85.00,,100.00,100.00,65.33,1.00,100.00,100.00,0.00,1.00,85.00,100.00,1.00,0.85,0.95
72,34.3,20,14.3,5,0,1.5,,100.00,14.58,1.50,,100.00,100.00,65.33,1.00,14.58,100.00,0.00,0.15,1.50,100.00,1.00,0.01,0.58
73,6,2.1,3.9,4,0,70,,100.00,66.67,70.00,,100.00,100.00,65.33,1.00,66.67,100.00,0.00,0.67,70.00,100.00,1.00,0.70,0.80
74,29.75,19.55,10.2,1.1,1.2,9.2,,100.00,7.73,9.20,,100.00,100.00,65.33,1.00,7.73,100.00,0.00,0.08,9.20,100.00,1.00,0.08,0.58
75,50,35,15,4,1,40,,100.00,10.00,40.00,,100.00,100.00,65.33,1.00,10.00,100.00,0.00,0.10,40.00,100.00,1.00,0.39,0.62
76,24.95,24,0.95,1.05,0,20,,100.00,4.21,20.00,,100.00,100.00,65.33,1.00,4.21,100.00,0.00,0.04,20.00,100.00,1.00,0.19,0.59
