prabhag_no,%_of_hh_with_underground_drainage_connection_in_society_data,%_hh_with_underground_drainage_connection_in_slums_data,%_of_hh_with_underground_drainage_connection_in_chawls_and_gaothan_data,number_of_community_toilet_seats,number_of_free_public_toilet_seats_for_female,number_of_paid_public_toilet_seats_for_male,number_of_paid_public_toilet_seats_for_female,number_of_urinals_for_male,number_of_residents_not_covered_with_toilet_seats,,%_of_hh_with_underground_drainage_connection_in_societies,%_of_hh_with_underground_drainage_connection_in_slums,%_of_hh_with_underground_drainage_connection_in_chawl_and_gaothan,number_of_residents_not_covered_with_toilet_seats,number_of_community_toilet_seats_required= (number of hh without toilet seats*5(family size)/Std for community toilets (e.g. 1 for 40 people),number_of_functioning_community_toilet_seats_available/number_of_community_toilet_seats_required,total_length_of_roads_in_prabhag _in_km,number_of_functioning_public_toilet_seats,number_of_functioning_toilet_seats_required=total_road_length_in_prabhag,number_of_functioning _public_toilet_seats/number_of_public_toilet_seats_required,,societies_drainage_connection_value,max_value,min_value,societies_drainage_connection_index,slums_drainage_connection_value,max_value,min_value,slums_drainage_connection_index,chawls_drainage_connection_value,max_value,min_value,chawls_drainage_connection_index,value_of_available_community_toilets_against_required_community_toilets,max_value,min_value,community_toilet_index,value_of_available_public_toilets_against_required_public_toilets,max_value,min_value,public_toilet_index,final_sanitation_index
65,100,100,100,65,30,193,171,10,1712,,100.00,100.00,100.00,1712.00,42.80,1.52,5.59,394.00,5.59,70.53,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,1.52,227600.00,0.00,0.00,70.53,101.33,0.00,0.70,0.83
66,100,100,100,142,72,75,74,59,0.1,,100.00,100.00,100.00,0.10,0.00,56800.00,20.00,221.00,20.00,11.05,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,56800.00,227600.00,0.00,0.25,11.05,101.33,0.00,0.11,0.78
67,100,100,100,352,166,81,56,68,0.1,,100.00,100.00,100.00,0.10,0.00,140800.00,26.00,303.00,26.00,11.65,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,140800.00,227600.00,0.00,0.62,11.65,101.33,0.00,0.12,0.82
68,100,100,100,296,150,83,108,11,0.1,,100.00,100.00,100.00,0.10,0.00,118400.00,20.35,341.00,20.35,16.76,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,118400.00,227600.00,0.00,0.52,16.76,101.33,0.00,0.17,0.81
69,100,100,100,31,14,5,3,7,0.1,,100.00,100.00,100.00,0.10,0.00,12400.00,46.00,22.00,46.00,0.48,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,12400.00,227600.00,0.00,0.05,0.48,101.33,0.00,0.00,0.77
70,100,100,100,17,9,81,85,12,1520,,100.00,100.00,100.00,1520.00,38.00,0.45,28.10,175.00,28.10,6.23,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,0.45,227600.00,0.00,0.00,6.23,101.33,0.00,0.06,0.78
71,100,85,90,185,36,67,73,17,2627,,100.00,85.00,90.00,2627.00,65.68,2.82,17.47,176.00,17.47,10.07,,100.00,100.00,70.00,1.00,85.00,100.00,20.00,0.81,90.00,100.00,1.00,0.90,2.82,227600.00,0.00,0.00,10.07,101.33,0.00,0.10,0.70
72,100,85,85,46,23,23,0,8,17,,100.00,85.00,85.00,17.00,0.43,108.24,34.30,46.00,34.30,1.34,,100.00,100.00,70.00,1.00,85.00,100.00,20.00,0.81,85.00,100.00,1.00,0.85,108.24,227600.00,0.00,0.00,1.34,101.33,0.00,0.01,0.69
73,100,100,100,0,0,0,0,0,0.1,,100.00,100.00,100.00,0.10,0.00,0.00,5.00,0.00,5.00,0.00,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,0.00,227600.00,0.00,0.00,0.00,101.33,0.00,0.00,0.77
74,100,100,100,3,2,4,7,0,0.1,,100.00,100.00,100.00,0.10,0.00,1200.00,29.75,13.00,29.75,0.44,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,1200.00,227600.00,0.00,0.01,0.44,101.33,0.00,0.00,0.77
75,100,100,100,7,5,3,1,5,175,,100.00,100.00,100.00,175.00,4.38,1.60,50.00,9.00,50.00,0.18,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,1.60,227600.00,0.00,0.00,0.18,101.33,0.00,0.00,0.77
76,100,100,100,134,70,0,0,7,650,,100.00,100.00,100.00,650.00,16.25,8.25,24.95,70.00,24.95,2.81,,100.00,100.00,70.00,1.00,100.00,100.00,20.00,1.00,100.00,100.00,1.00,1.00,8.25,227600.00,0.00,0.00,2.81,101.33,0.00,0.03,0.77
