prabhag_no,door_to_door_collection_percentage,gate_to_gate_collection_percentage,total_waste_collected_in_tons,total_waste_generated_in_tons,number_of_informal_points_where_solid_waste_gets_accumulated_data,,hh_in_the_prabhag,%_of_hh_covered_under_door_to_door_collection,%_of_hh_under_gate_collection,%_of_waste_collected_against_generated_in_a_prabhag,number_of_informal_points_where_solid_waste_gets_accumulated,,%_of_hh_covered_under_door_to_door_collection,max_value,min_value,door_to_door_garbage_collection_index,%_of_hh_under_gate_collection,max_value,min_value,gate_to_gate_garbage_collection_index,%_of_waste_collected_against_generated_in_a_prabhag,max_value,min_value,waste_collection_index,number_of_informal_points_where_solid_waste_gets_accumulated,max_value,min_value,informal_waste_collection_points_index,final_solid_waste_management_index
57,40,35,15,15.5,3,,,40,35,96.77,3,,40.00,101.84,0.00,0.39,35.00,100.00,0.00,0.35,96.77,100.00,20.06,0.96,3.00,0.00,29.00,0.90,0.71
58,29.93,54.47,9.78,11.5,8,,,29.93,54.47,85.04,8,,29.93,101.84,0.00,0.29,54.47,100.00,0.00,0.54,85.04,100.00,20.06,0.81,8.00,0.00,29.00,0.72,0.63
59,15,15,10.5,15,6,,,15,15,70.00,6,,15.00,101.84,0.00,0.15,15.00,100.00,0.00,0.15,70.00,100.00,20.06,0.62,6.00,0.00,29.00,0.79,0.52
60,15,15,8.25,11,6,,,15,15,75.00,6,,15.00,101.84,0.00,0.15,15.00,100.00,0.00,0.15,75.00,100.00,20.06,0.69,6.00,0.00,29.00,0.79,0.54
61,0.0065,0.003,21.33,21.33,5,,,0.65,0.30,100.00,5,,0.65,101.84,0.00,0.01,0.30,100.00,0.00,0.00,100.00,100.00,20.06,1.00,5.00,0.00,29.00,0.83,0.65
62,35.07,35.07,20.72,25.9,29,,,35.07,35.07,80.00,29,,35.07,101.84,0.00,0.34,35.07,100.00,0.00,0.35,80.00,100.00,20.06,0.75,29.00,0.00,29.00,0.00,0.45
63,5,25,16.8,21,18,,,5,25,80.00,18,,5.00,101.84,0.00,0.05,25.00,100.00,0.00,0.25,80.00,100.00,20.06,0.75,18.00,0.00,29.00,0.38,0.44
64,90,50,14,16.6,10,,,90,50,84.34,10,,90.00,101.84,0.00,0.88,50.00,100.00,0.00,0.50,84.34,100.00,20.06,0.80,10.00,0.00,29.00,0.66,0.73
65,15,15,5.84,12,6,,,15,15,48.67,6,,15.00,101.84,0.00,0.15,15.00,100.00,0.00,0.15,48.67,100.00,20.06,0.36,6.00,0.00,29.00,0.79,0.45
66,52,16,17,17.5,2,,,52,16,97.14,2,,52.00,101.84,0.00,0.51,16.00,100.00,0.00,0.16,97.14,100.00,20.06,0.96,2.00,0.00,29.00,0.93,0.72
67,55,28,16,16.5,2,,,55,28,96.97,2,,55.00,101.84,0.00,0.54,28.00,100.00,0.00,0.28,96.97,100.00,20.06,0.96,2.00,0.00,29.00,0.93,0.74
68,36,28,15,15.5,2,,,36,28,96.77,2,,36.00,101.84,0.00,0.35,28.00,100.00,0.00,0.28,96.77,100.00,20.06,0.96,2.00,0.00,29.00,0.93,0.71
69,0.1683,0.2768,14.2,16.5,5,,,16.83,27.68,86.06,5,,16.83,101.84,0.00,0.17,27.68,100.00,0.00,0.28,86.06,100.00,20.06,0.83,5.00,0.00,29.00,0.83,0.61
70,80,85,15,21.2,8,,,80,85,70.75,8,,80.00,101.84,0.00,0.79,85.00,100.00,0.00,0.85,70.75,100.00,20.06,0.63,8.00,0.00,29.00,0.72,0.75
71,60,60,15,20.9,9,,,60,60,71.77,9,,60.00,101.84,0.00,0.59,60.00,100.00,0.00,0.60,71.77,100.00,20.06,0.65,9.00,0.00,29.00,0.69,0.63
72,60,40,14,22.1,8,,,60,40,63.35,8,,60.00,101.84,0.00,0.59,40.00,100.00,0.00,0.40,63.35,100.00,20.06,0.54,8.00,0.00,29.00,0.72,0.58
73,0.5,0.47,14.5,15,1,,,50.00,47.00,96.67,1,,50.00,101.84,0.00,0.49,47.00,100.00,0.00,0.47,96.67,100.00,20.06,0.96,1.00,0.00,29.00,0.97,0.76
74,0.51,0.49,14,15,4,,,51.00,49.00,93.33,4,,51.00,101.84,0.00,0.50,49.00,100.00,0.00,0.49,93.33,100.00,20.06,0.92,4.00,0.00,29.00,0.86,0.72
75,0.42,0.2,37,45,7,,,42.00,20.00,82.22,7,,42.00,101.84,0.00,0.41,20.00,100.00,0.00,0.20,82.22,100.00,20.06,0.78,7.00,0.00,29.00,0.76,0.59
76,0.6371,0.1238,19,25.5,7,,,63.71,12.38,74.51,7,,63.71,101.84,0.00,0.63,12.38,100.00,0.00,0.12,74.51,100.00,20.06,0.68,7.00,0.00,29.00,0.76,0.60
